"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","Tumor","CenterName","Submission","Consent","RunHash","ReadHash"
"1","SRR4785970","2017-06-20 16:29:19","2016-11-01 19:17:42","91003285","18142205652","91003285","199","5736","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785970/SRR4785970.1","SRX2316201","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773123","SAMN05964002","simple","9606","Homo sapiens","GSM2371128","no","GEO","SRA488109","public","8383DC295939BE2BEEDEA050D8B088C1","3C5980E40B1DF5518BEC9409E11E635C"
"2","SRR4785971","2017-06-20 16:29:19","2016-11-01 19:30:25","77260239","15399394281","77260239","199","4396","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785971/SRR4785971.1","SRX2316202","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773124","SAMN05964001","simple","9606","Homo sapiens","GSM2371129","no","GEO","SRA488109","public","E8F126C6BD454E152430BBF8580009B3","3CC5984C62465272F4A881EC1EC7F549"
"3","SRR4785972","2017-06-20 16:29:19","2016-11-01 19:21:36","88279535","17608562094","88279535","199","4901","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785972/SRR4785972.1","SRX2316203","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773125","SAMN05964000","simple","9606","Homo sapiens","GSM2371130","no","GEO","SRA488109","public","D3E65225B654EDF4926A6DE439F675C3","82BE69AAD9AAC2E02DB263885E308842"
"4","SRR4785973","2017-06-20 16:29:19","2016-11-01 19:27:10","82085119","16377023856","82085119","199","5027","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785973/SRR4785973.1","SRX2316204","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773127","SAMN05963999","simple","9606","Homo sapiens","GSM2371131","no","GEO","SRA488109","public","BB39F814F2E087A0D295D6B10B9F1F95","C9FA7C88C9D3B81AD2492158BAAC547C"
"5","SRR4785974","2017-06-20 16:29:19","2016-11-01 19:10:26","100205561","19995593603","100205561","199","6332","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785974/SRR4785974.1","SRX2316205","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773126","SAMN05963998","simple","9606","Homo sapiens","GSM2371132","no","GEO","SRA488109","public","9F9EEE162C32FD8E4B2BDF0BE8C3F3AC","B5EB16182165CA170914A5364952A175"
"6","SRR4785975","2017-06-20 16:29:19","2016-11-01 19:18:23","85759856","17107861100","85759856","199","5323","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785975/SRR4785975.1","SRX2316206","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773129","SAMN05963997","simple","9606","Homo sapiens","GSM2371133","no","GEO","SRA488109","public","F47B3158DCB67D636FC9C44DA7651201","A8415B7379E0CD1284691D0B4A667723"
"7","SRR4785976","2017-06-20 16:29:19","2016-11-01 19:20:38","92620023","18469332492","92620023","199","5120","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4785976/SRR4785976.1","SRX2316207","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773128","SAMN05963996","simple","9606","Homo sapiens","GSM2371134","no","GEO","SRA488109","public","620F3A17ABB8D158567AF88C1F738C4B","E4266DA4CD6FEED8BDB28D97E930A29D"
"8","SRR4785977","2017-06-20 16:29:19","2016-11-01 18:17:20","99163033","19808657081","99163033","199","5421","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4785977/SRR4785977.1","SRX2316208","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773130","SAMN05963995","simple","9606","Homo sapiens","GSM2371135","no","GEO","SRA488109","public","8B768ABEFE20645DA5CD598150714DBD","4F3D5A2E631FCE22B5D3324EA8A3A9C9"
"9","SRR4785978","2017-06-20 16:29:19","2016-11-01 18:31:04","83521963","16708439654","83521963","200","4694","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785978/SRR4785978.1","SRX2316209","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773131","SAMN05963994","simple","9606","Homo sapiens","GSM2371136","no","GEO","SRA488109","public","1C8DDB0D199A9AE642067E264EDD8E79","D9C38D841FBE0F0184D6026D10084BA9"
"10","SRR4785979","2017-06-20 16:29:19","2016-11-01 18:21:55","77137493","15375563763","77137493","199","5030","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785979/SRR4785979.1","SRX2316210","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773132","SAMN05963993","simple","9606","Homo sapiens","GSM2371137","no","GEO","SRA488109","public","E3EAA68813DE7C1ED0EA83B7BB2F3BC9","E228F52008424BDBBF0ED0AFBBCE35FC"
